Nazwa;Kcal;Wêglowodany;Bia³ko;T³uszcz
Ry¿ preparowany;376;84.1;6.3;1.6
Rze¿ucha;15;1.3;2.3;0.1
Rzodkiewka;21;3.6;0.8;0.4
Salceson czarny;340;0.5;12.6;32
Salceson w³oski;322;0;14.6;29.3
Sa³ata;20;2.9;1.4;0.3
Sandacz œwie¿y;80;0.9;18.3;0.3
Sardynki w oleju konserwa;202;0;24;11.5
Sardynki w sosie pomidorowym konserwa;163;1.4;17;9.9
Sarnina;102;0.4;20.8;1.9
Schab surowy wieprzowy;174;0;21;10
Schab wêdzony;136;0;25;4
Seler korzeñ;61;13.6;1.3;0.2
Ser Feta;216;1;17;16
Ser pleœniowy Brie pe³not³usty;293;0;18;24.5
Ser pleœniowy Rokpol pe³not³usty;354;0;22.6;29.3
Ser podpuszczkowy Brie pe³not³usty;332;0.2;19.8;28
Ser podpuszczkowy Camembert t³usty;263;1.9;19.3;19.8
Ser podpuszczkowy Cheddar pe³not³usty;382;2.5;27.1;29.3
Ser podpuszczkowy Ementaler pe³not³usty;383;0.1;28.8;29.7
Ser podpuszczkowy Ementaler t³usty;330;1.5;28.8;23.2
Ser podpuszczkowy Gouda t³usty;314;1;27.9;22
Ser podpuszczkowy Mozarella t³usty;224;0;20;16
Ser podpuszczkowy Myœliwski pe³not³usty;349;0.1;25.5;27.4
Ser podpuszczkowy Parmezan;408;0.1;35.1;29.7
Ser podpuszczkowy Salami pe³not³usty;354;0.1;25.2;28.1
Ser podpuszczkowy Salami t³usty;329;3.1;29.5;22.1
Ser podpuszczkowy Tyl¿ycki pe³not³usty;356;0.1;26.1;27.9
Ser podpuszczkowy Tyl¿ycki t³usty;327;2.1;27.8;23
Ser topiony t³usty;222;1.6;18;16
Ser twarogowy chudy;98;3.5;19.8;0.5
Ser twarogowy pe³not³usty;176;3.5;17.7;10.1
Ser twarogowy pó³t³usty;132;3.7;18.7;4.7
Serca wieprzowe;111;0;16.9;4.8
Serdelki drobiowe;239;1.9;13.9;19.5
Serek Fromage naturalny;384;2.4;10.2;37.1
Serek homogenizowany truskawkowy;167;17.7;15.3;3.9
Serek homogenizowany waniliowy;158;13.3;16.8;4.2
Serek twarogowy ziarnisty;101;3.3;12.3;4.3
Serek ziarnisty;101;3.3;12.3;4.3
Sernik;273;38;10;9
Sernik z rodzynkami;342;39.6;14.6;13.9
Sernik z rodzynkami ciasto;342;39.6;14.6;13.9
Serwatka p³ynna;25;5.1;0.8;0.1
Sezamki;511;56.2;13.4;25.8
Skrobia kukurydziana;367;91.3;0.3;0.1
Skrzyd³o bez skóry indycze;169;0;16.5;11.4
S³onecznik ziarno;580;12.3;22.5;49
S³onina;811;0;2.4;89
Smalec;896;0;0;99.5
Snickers baton;509;52.6;9.7;28.9
Soczewica suche ziarno;347;59.5;25;1
Soja suche ziarno;442;34.8;34.9;18.1
Sok ananasowy;48;11.4;0.3;0.1
Sok grejfrutowy;35;7.8;0.6;0.2
Sok jab³kowy;45;10;0.4;0.4
Sok marchwiowy;48;11.3;0.4;0.1
Sok pomarañczowy;45;10.5;0.5;0.1
Sok pomidorowy;19;2.6;0.8;0.6
Sok z czarnej porzeczki;45;10.2;0.3;0.3
Sola œwie¿a;83;0;17.5;1.4
Sprite napój;42;10.5;0;0
Syrop truskawkowy;262;62;0.2;0.1
Szampan pó³s³odki;97;7;0.2;0
Szampan pó³wytrawny;83;3.4;0.1;0
Szampan s³odki;117;12;0.2;0
Szczaw;39;3.9;1.1;0.8
Szczupak œwie¿y;81;0;18.4;0.8
Szczypiorek;39;3.9;4.1;0.8
Szparagi;24;3.7;1.9;0.2
Szpinak;26;3;2.6;0.4
Szponder wo³owy;218;0;19.3;15.7
Szprot wêdzony;243;0;19.3;18.3
Szynka surowa wieprzowa;264;0;18;21.3
Szynka wêdzona gotowana;389;0;23;33
ŒledŸ solony;218;0;19.8;15.4
ŒledŸ œwie¿y;162;0;16.3;10.7
ŒledŸ w oleju konserwa;343;0;19.7;29.4
ŒledŸ w pomidorach konserwa;177;1.8;13.7;12.8
Œliwki;70;15.9;1;0.3
Œliwki suszone;311;70.8;4.9;0.9
Œmietana 12% t³uszczu;134;3.9;2.7;12
Œmietana 18% t³uszczu;186;3.6;2.5;18
Œmietanka do kawy 9% t³uszczu;54;4;2.8;9
